student_id,pretest
MNVG5,53.30128060828059
LB2TH,53.89786953203743
ETDRG,67.47660251856846
TME5H,41.720566516558776
G8C0U,50.05618958990786
LB8XY,73.5659345099345
AEGY3,60.9225459535006
7PFTS,56.22585087719299
74LOE,62.8045128889858
EXWEA,62.267654290154304
2J7T0,39.20288528425703
UPVQB,35.873666666666665
0KZS6,46.38952691423399
RGPSQ,42.60786933371065
5IKFU,60.077783802798514
MASAB,57.05934343434344
BLF0G,38.5272308206929
S4YGT,48.43444038830107
PNXUP,75.38204194824783
0FC2B,44.45933333333334
6PQH8,52.32657650906027
C1MCZ,31.671167529248628
42NEO,48.73476190476191
H08BV,75.38204194824783
0WW6N,60.077783802798514
PN7DI,68.4065950911833
OA8E3,75.38204194824783
7FG13,73.63688531729709
AJN0V,60.26357027054473
4RRBE,68.33304215340904
6DCTV,60.5699365079365
K8KRE,54.49113264221159
ABNLD,41.002552219710104
6TTZY,47.622841269841274
HD0QR,63.668116781910896
BG9FM,39.70906245947035
EYFXR,60.159312373900605
KG5MF,31.66976520916304
LLVCV,73.2386622412675
VX97O,73.2386622412675
RFA8S,60.26357027054473
AKMB6,69.51327927954398
WEKZ0,73.65994805194805
6GLIV,29.90166188373168
IXNI7,52.6901027509368
TIVFF,40.39291141263278
GHNH4,55.466522593849206
I9OJV,57.1952009102009
I3X3Z,79.5998192031223
OCUFY,59.25596722197652
CES33,64.13340754266375
N3DMQ,55.466522593849206
TBYDV,71.57536193914443
QS03G,63.668116781910896
DQYGC,83.41452014368498
FZS9D,61.94121326059563
5T3FK,68.4065950911833
YEJFP,64.90803174603174
F9AF4,73.65994805194805
BHDD2,47.91738095238097
N2XBL,39.20288528425703
DH9JM,61.94121326059563
PWTOX,68.4065950911833
MMHV2,39.70906245947035
WIX9F,68.4065950911833
4Q94R,43.30656615606617
CRILM,31.66976520916304
SAYN0,63.668116781910896
6W3J2,41.298933659556226
C3584,68.55064729388258
KJGKN,64.79497402597403
XWMAD,55.77924508824507
8DGQQ,33.27448945155292
JSYRI,65.99061111111111
1VMNH,57.05934343434344
4GUB6,39.20288528425703
4YT5N,31.671167529248628
DTGZA,65.99061111111111
CJSVH,32.21560878601813
GOPGB,64.13340754266375
ETID2,61.94121326059563
I9AT5,67.95636848325393
G1D76,32.21560878601813
P7B9V,50.14816916851065
7PML3,60.011186876504986
EKP6D,73.2386622412675
5Z1B6,66.33323837273839
QCW77,52.32657650906027
1ZWVL,58.58785483316134
GDMQS,64.26199732779295
WUC3P,50.05618958990786
9UO4I,53.18333333333334
MMT5M,58.350051587301586
F51X9,71.57536193914443
0U8DI,70.34385714285716
XKSFM,66.73082379875028
IJKWF,58.350051587301586
4ZRL3,54.07266755466754
OBJSU,55.466522593849206
YJLKC,64.30746675546676
49F3U,57.05934343434344
U8IBL,48.55995023457795
CPQ7T,64.30746675546676
JIPLL,54.07266755466754
IXGKA,32.45350236092634
PDDSN,55.466522593849206
M401J,50.14816916851065
39K0Q,61.64651587301588
65RSM,57.687654401154404
2RA1H,65.99061111111111
BFTIU,73.2386622412675
EPWXS,53.89786953203743
OCJE3,60.159312373900605
U24U5,60.159312373900605
7JBMI,45.695982848850484
4AV4I,60.26357027054473
GNFMX,39.70906245947035
48A1T,83.41452014368498
03T0E,68.33304215340904
FNZ5V,64.79497402597403
JKPGR,43.70119340108362
7BH6I,67.95636848325393
93BY7,59.12929953292547
3431D,64.79497402597403
9E26H,43.88057299082812
ZKC14,61.16439592350412
CFH25,59.392339384557665
TT9MG,51.353671550671564
ME537,75.38204194824783
6O48K,56.69306285843997
72VS3,62.281805295237966
XP6HQ,62.48619047619048
GTHLL,67.41888131313131
DWGQI,43.30656615606617
3XOWE,62.8045128889858
V69IG,66.73082379875028
YED8S,40.39291141263278
2Y5KB,63.668116781910896
B7ZPX,53.72927821491264
TQBTQ,64.26199732779295
EUE94,83.41452014368498
LFC9U,58.350051587301586
TGZB2,38.5272308206929
EMI9G,48.55995023457795
TNGFN,55.466522593849206
Z5DTY,64.79497402597403
R63EU,67.00289461587607
VIVT4,46.38952691423399
1ZXE0,41.00891274270082
39KCW,62.4875873015873
66QL7,69.51327927954398
H0CGC,55.77924508824507
BIFAM,71.75459523809522
WLH9L,61.810894347482574
DXI2U,43.70119340108362
KA6AR,73.65994805194805
HY397,71.75459523809522
R0Z5D,64.13340754266375
VF28H,60.9225459535006
889HH,55.77924508824507
KHMUC,46.38952691423399
RYJH1,64.11981623931622
D1K24,41.053992956218174
LJWJ5,50.05618958990786
H9BKE,56.69306285843997
EOZV5,29.484945440610304
AD7YT,48.17892783956596
K0K0A,55.79763095238095
GRE0J,74.26979787996662
65ZZN,49.7319915917416
PRZUQ,68.55064729388258
15IAX,40.39291141263278
P32P9,83.5523646908647
FZF17,63.668116781910896
BUDF2,38.30586289951306
5WRPI,48.43444038830107
XTC1Q,73.5659345099345
AZJMV,38.5272308206929
7BEF7,58.58785483316134
PH300,77.40893249811911
E6EPH,44.243428571428566
RFVK8,56.22585087719299
JMTOQ,57.1952009102009
YZJEF,42.60786933371065
H4GR3,58.58785483316134
34ANF,62.31130542264752
14BAR,48.43444038830107
SP09I,49.22559999999999
MQHOL,56.69306285843997
2PYGZ,32.21560878601813
LBNRH,53.72927821491264
KV76E,52.6901027509368
6XLGF,47.622841269841274
XILO8,50.05618958990786
S85CT,46.12891788802026
HRW4T,32.21560878601813
O2EGZ,58.585641448420866
ZSJWH,55.29443509955817
W95QH,50.05618958990786
8HMCH,62.48619047619048
QIOYE,32.21560878601813
B4YM5,52.32657650906027
RXDYK,58.58785483316134
2XO1P,48.01161169156667
K6ZPT,53.89786953203743
SJEG2,55.77924508824507
ZTROF,60.159312373900605
A8L7P,50.05618958990786
FIRGN,53.89786953203743
AC5BK,57.05934343434344
UG0VP,29.90166188373168
ILXQY,57.05934343434344
286RT,41.298933659556226
36XVY,52.6901027509368
PR2SE,41.002552219710104
3NOO6,42.60786933371065
HWJG5,52.12339682539683
42OS6,62.48619047619048
5TM1N,46.12891788802026
EEJ6S,65.99061111111111
TMN52,64.00366666666667
H1F9J,60.9225459535006
1BEFZ,61.0863863375187
B4VE7,83.41452014368498
JI9VG,62.8045128889858
MF1NR,57.05934343434344
PNO97,62.281805295237966
K6FWQ,35.728925093016954
QOOMM,41.298933659556226
E794Z,60.9225459535006
HGCQA,58.083737900737646
7OLG6,59.25596722197652
QJVAM,60.5699365079365
4KXHJ,73.65994805194805
JY21F,64.11981623931622
Q5QRY,60.159312373900605
5SLAY,55.77924508824507
ZSLGX,29.484945440610304
VHOWB,67.00289461587607
6MBC0,68.33304215340904
AUZ9N,59.392339384557665
VNP26,41.00891274270082
VEXWA,64.26199732779295
YIFYG,64.26199732779295
THSH4,68.33304215340904
DNCDV,53.833700965700956
Z7PUC,58.585641448420866
43IMD,41.002552219710104
5OKGY,83.45999973298116
A5BS4,57.1952009102009
RVC99,83.5523646908647
MKL3E,77.40893249811911
9J2Z8,71.75459523809522
F5H1B,77.40893249811911
YPXKI,57.05934343434344
KW69V,62.25766666666666
5JSKA,51.97673015873016
O4C5C,74.26979787996662
P6MIL,46.38952691423399
T9YB9,48.55995023457795
99KK2,57.1952009102009
MEUC4,62.8045128889858
J46NP,50.05618958990786
5QQ2M,31.66976520916304
OA4KH,53.30128060828059
YS6D7,63.668116781910896
1C30U,67.47660251856846
7KY71,62.31130542264752
PA75T,31.66976520916304
04TG9,43.58559999999999
HCBLB,52.32657650906027
